PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Passengerid,sibsp,zero,zero.1,zero.2,zero.3,zero.4,zero.5,zero.6,zero.7,zero.8,zero.9,zero.10,zero.11,zero.12,zero.13,zero.14,zero.15,zero.16,zero.17,zero.18,2urvived
892,0,3,"Kelly, Mr. James",male,34.5,0,0,330911,7.8292,,Q,,,,,,,,,,,,,,,,,,,,,,
893,1,3,"Wilkes, Mrs. James (Ellen Needs)",female,47,1,0,363272,7,,S,,,,,,,,,,,,,,,,,,,,,,
894,0,2,"Myles, Mr. Thomas Francis",male,62,0,0,240276,9.6875,,Q,,,,,,,,,,,,,,,,,,,,,,
895,0,3,"Wirz, Mr. Albert",male,27,0,0,315154,8.6625,,S,,,,,,,,,,,,,,,,,,,,,,
896,1,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",female,22,1,1,3101298,12.2875,,S,,,,,,,,,,,,,,,,,,,,,,
897,0,3,"Svensson, Mr. Johan Cervin",male,14,0,0,7538,9.225,,S,,,,,,,,,,,,,,,,,,,,,,
898,1,3,"Connolly, Miss. Kate",female,30,0,0,330972,7.6292,,Q,,,,,,,,,,,,,,,,,,,,,,
899,0,2,"Caldwell, Mr. Albert Francis",male,26,1,1,248738,29,,S,,,,,,,,,,,,,,,,,,,,,,
900,1,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female,18,0,0,2657,7.2292,,C,,,,,,,,,,,,,,,,,,,,,,
901,0,3,"Davies, Mr. John Samuel",male,21,2,0,A/4 48871,24.15,,S,,,,,,,,,,,,,,,,,,,,,,
902,0,3,"Ilieff, Mr. Ylio",male,,0,0,349220,7.8958,,S,,,,,,,,,,,,,,,,,,,,,,
903,0,1,"Jones, Mr. Charles Cresson",male,46,0,0,694,26,,S,,,,,,,,,,,,,,,,,,,,,,
904,1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23,1,0,21228,82.2667,B45,S,,,,,,,,,,,,,,,,,,,,,,
905,0,2,"Howard, Mr. Benjamin",male,63,1,0,24065,26,,S,,,,,,,,,,,,,,,,,,,,,,
906,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47,1,0,W.E.P. 5734,61.175,E31,S,,,,,,,,,,,,,,,,,,,,,,
907,1,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,24,1,0,SC/PARIS 2167,27.7208,,C,,,,,,,,,,,,,,,,,,,,,,
